id,tags,description,applicant,rating,keywords,methods,revisions,location.name,source.name,source.license,source.url,documentation.name,documentation.url,mechanism_value,mechanism_units,mechanism_rating,mechanism_notes,mechanism_comment,volume_value,volume_units,volume_rating,volume_notes,volume_comment,negativity_value,negativity_units,negativity_rating,negativity_notes,negativity_comment,permanence_value,permanence_units,permanence_rating,permanence_notes,permanence_comment,additionality_value,additionality_units,additionality_rating,additionality_notes,additionality_comment,cost_value,cost_units,cost_rating,cost_notes,cost_comment,specificity_value,specificity_units,specificity_rating,specificity_notes,specificity_comment,pt,projection_comments,projection_group,cost_2020_min,cost_2021_min,cost_2022_min,cost_2023_min,cost_2024_min,cost_2025_min,cost_2026_min,cost_2027_min,cost_2028_min,cost_2029_min,cost_2030_min,cost_2031_min,cost_2032_min,cost_2033_min,cost_2034_min,cost_2035_min,cost_2020_max,cost_2021_max,cost_2022_max,cost_2023_max,cost_2024_max,cost_2025_max,cost_2026_max,cost_2027_max,cost_2028_max,cost_2029_max,cost_2030_max,cost_2031_max,cost_2032_max,cost_2033_max,cost_2034_max,cost_2035_max,vol_2020_min,vol_2021_min,vol_2022_min,vol_2023_min,vol_2024_min,vol_2025_min,vol_2026_min,vol_2027_min,vol_2028_min,vol_2029_min,vol_2030_min,vol_2031_min,vol_2032_min,vol_2033_min,vol_2034_min,vol_2035_min,vol_2020_max,vol_2021_max,vol_2022_max,vol_2023_max,vol_2024_max,vol_2025_max,vol_2026_max,vol_2027_max,vol_2028_max,vol_2029_max,vol_2030_max,vol_2031_max,vol_2032_max,vol_2033_max,vol_2034_max,vol_2035_max
STRP007,"['forests', 'reforestation']",Reforestation using heavy-lift drones and seed enablement.,Droneseed,2,,"Project reports a volume of 510 tCO₂ in the first year (2020), 31027 tCO₂ of 51 years, and 64031 tCO₂ over 100 years for a project size of 211 ha. We report the intermediate number as 51 years is stated as the project duration. These numbers exactly match the values in USFS yield tables assuming Ponderosa Pine in the Pacific Northwest, East region and starting from a stand age of 0 (Smith et al., 2005). Given that this is previously burned land and thus will primarily involve new forest growth, using these numbers directly is appropriate and we consider the claimed volume validated.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '03-17-2021', 'note': 'Added documentation column to match new conventions.'}]","WA, USA",Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://www.droneseed.com/,0,,1.0,Drone technology accelerates reforestation to remove carbon from atmosphere for sequestration in forests.,,31027.0,tCO₂,1.0,"Volume based on a pilot project in the Pacific Northwest, East (USFS designation). Volume stated as computed using Climate Action Reserve's Climate Forward Reforestation Forecast Methodology Version 1.0, which appears in this case to use direct projections based on USFS yield tables for Ponderosa Pine. Claim is 510 tCO₂ in the first year (2020), 31026 tCO₂ in 51 years (the project lifetime), and 64031 tCO₂ over 100 years.","We independently validated against USFS yield tables, assuming Ponderosa Pine in Pacific Northwest, East and project size of 211 ha. Assumes reforestation approach works as effectively as assumed, including seedling survival rates, for which public data or publications are not yet available.",1.0,,1.0,"Claims 8.60 tCO₂ emissions for drone fleet operation and transport, all of which are incurred in the first year of the project.","Boundary conditions are well-specified and drone-related emissions are thoroughly documented. For consistency, we recomputed negativity ratio using the 51-year project lifetime carbon removal estimate of 31,027 tCO₂, rather than the removal projected only in 2020.",51.0,years,0.0,Claims 51 years with potential economic incentives for longer durations.,"Physical risks are unknown as exact location is unknown, but could be large given coarse location in the Pacific Northwest. Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon. In addition, because funds will be used to reforest another project, there is uncertainty as to the landowner committments and associated risks. See our comment on additionality for additional discussion.",0.0,,,Counterfactual is reforesting manually or not at all.,"This project can be considered an investment in a new technology to lower the cost of reforestation, with funding likely going to future reforestation projects. As an investment in a specific quantity of carbon removal, however, there are then concerns about double-counting, as the landowner may attempt to separately monetize the same carbon benefits using a carbon offset protocol, and this pattern could repeat in future iterations.",8.23,$/tCO₂,,,"Costs of $500.20/tCO₂ were reported using only the carbon removal of 510 tCO₂ expected in 2020, but an estimated 31,026 tCO₂ will be removed over the project lifetime. For consistency, we have adjusted the reported $/tCO₂ to reflect the total expected benefits across the project's lifetime.",1.0,,,,"Details are provided on plan and process, but no publications or public data are available on the new technology and its performance in reforestation projects.",forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP008,"['forests', 'reforestation']",Reforestation with verification and monitoring in Rip's Redwoods and Guanare.,Pachama,1,"Rip's Redwoods, Guanare","Project directly reports rates of 16 tCO₂ / ha / yr for the Rip’s Redwoods development, and 26 tCO₂ / ha / yr for Guanare. The total volume estimates are then based on these rates projected over the project durations of 60 and 100 years for the two projects, respectively. The Rip’s Redwoods appears to be a mix of Douglas Fir and Coastal Redwoods. Values in USFS yield tables for Douglas Fir in the Pacific Northwest are as high as 11.56 tCO₂ / ha / yr over a 20 year period (Smith et al., 2005), so the reported rate is very high but not implausible. A more accurate estimate would incorporate stand age, which was not provided, so as to better estimate current growth rates. The Guanare project appears to include mainly eucalyptus, which has published growth rates of 5.02 to 27.65 tCO₂ / ha / yr over an initial 3 years of growth (Ahimana & Maghembe, 1987), so the reported rate is again high but not implausible, but validation would require incorporating stand age.

In both cases, validation of volume estimates would benefit either from additional information on projects, or open sourcing some of the proprietary remote sensing based methods and datasets the project uses. While existing literature using remote sensing for estimating forest carbon stocks is established, and some of it is referenced, this is a complex topic that would benefit from more public data and reproducible methods.

In terms of permanence risk, we have not specifically analyzed fire risk for the Guanare project but it is stated by the project as high. Risk for Rip’s Redwoods, given its ecoregion, is likely low to moderate (Anderegg et al., in publication), and we will soon provide more specific estimates of this risk, alongside risks related to drought and insects. Questions around permanece on the provided time horizon have more to do with socioeconomic risks such as default or bankruptcy.
","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '11-25-2020', 'note': 'Fixed ungrammatical sentence.'}, {'date': '03-17-2021', 'note': 'Added documentation column and changed project description to match new conventions.'}]","Uruguay & CA, USA",Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://pachama.com/explorer/projects,2,,1.0,Projects avoids emissions by avoiding forest loss and removes atmospheric carbon for sequestration in forests and forest products.,,165850.0,tCO₂,0.0,"Volume is the total of two exemplar projects, Rip's Redwoods and Guanare. The Pachama platform offers a larger portfolio of projects, but they are not considered here.","Claimed sequestration rates of 16 and 26 tCO₂ / ha / yr for Rip's Redwoods and Guanare, respectively, are on the high end of published literature. Additional details on project (e.g. stand ages) and more information on proprietary quantification methods would be useful for validating volume.",0.19,,0.0,Claims a range of 0.19 to 0.59 across exemplar projects.,"Self-reported value appears unreasonably low, but not enough data is provided for validation. We report the lowest, most conservative ratio. Based on project type, however, we would expect a much higher ratio.",46.0,years,0.0,Claims 60 years from 2006 for Guanare and 100 years from 2013 for Rip's Redwoods.,"We report the minimum across the estimated permanence for the underlying projects (46 and 97), relative to the year of the proposal (2020). Physical risks (mainly wildfire) are mixed, with higher risk for Guanare, and low to moderate risk for Rip's Redwoods. Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon.",0.0,,,Counterfactual scenarios specified for both projects.,"Guanare project began in 2006, and thus future carbon removals are already assured under these historical land management practices. Rip's Redwood project already credited for standing carbon stock above regional baseline, which indicates a promise not to harvest normally and therefore raises questions about the additionality of ongoing carbon removal credits.",8.0,$/tCO₂,,,,2.0,,,,Basic project characteristics are described in detail.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP012,"['forests', 'ifm']",Forest carbon rental markets.,SilviaTerra,3,,"This project is based on a novel forest carbon “rental” scheme which has been proposed in the economic literature (Sohngen & Mendelsohn, 2003) but not yet implemented. In the scheme, forest owners are paid to delay harvests by 1 year. A pilot was deployed in 2019 in Pennsylvania spanning 6 counties for 300000 tCO₂-years, and the proposal is to expand this approach to 11 states in the US south, mainly involving pine forests. The plausibility of the volume depends on the details of implementation, which were not provided. Project refers to remote sensing based methods for validating both stocks (which should be straightforward) and a highly-detailed, acre-by-acre analysis of business as usual, and intentions to open these methods for public review, which would be welcome and enable further validation of this approach.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '11-25-2020', 'note': 'Fixed typo.'}, {'date': '03-17-2021', 'note': 'Added documentation column to match new conventions.'}]",Southern USA,Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://www.silviaterra.com/,2,,1.0,"Facilitates atmospheric carbon removal by extending time between forest harvests, avoiding emissions due to harvests and sequestering additional carbon in forests and forest products.",,15000000.0,tCO₂,0.0,Volume extrapolated from a pilot implementation in 6 counties in Pennsylvania. Projects in 2020 will be sourced from 11 southern US states. Supply will be allocated via an auction.,Volume will be relatively straightforward to confirm via stocking estimates as a result of the 1 year project duration. Plausibility of large total volume depends on the number of particpants.,0.999,,1.0,Emissions estimates based solely on the operations of the small office team that will run the program and a field team that periodically verify project conditions.,No reason to consider additional emissions given program design.,1.0,years,1.0,Claims that carbon removal from a one-year contract can last up to 10 years as a result of supply chain effects in the timber industry.,"Because SilviaTerra uses an annual contracting model, we report 1 year.",1.0,,,Counterfactual is active forest product harvest.,"By shifting to a ton-year accounting framework, SilviaTerra intends to avoid additionality concerns by measuring actual carbon stored each year. However, other factors, such as exogenous shifts in timber markets, can still affect additionality considerations with respect to forest harvest decisions. Proprietary methods for measurement and verification against field plots are not yet available.",15.0,$/tCO₂-year,,,"SilviaTerra uses a ton-year accounting that reflects the cost per tCO₂ stored per year. Thus, assuming constant price, a contract to store 1 tCO₂ for 1 year at $15/tCO₂-year would cost $15 and a contract to store 1 tCO₂ for 100 years would cost $1,500.",1.0,,,,Reasonably thorough description of program design. Details on specific projects or methods for project quantification or selection are not yet publicly available.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP013,"['forests', 'agroforestry']",Conversion of annual cropland to sheep/chestnut silvopasture.,Breadtree Farms,1,,"Project claims a range of 56 tCO₂ to 140 tCO₂ in the first year over the 4.9 ha they are adding to the project, reflecting both the planting of new chestnut trees and changes to grazing practices to increase soil carbon sequestration. While this estimate is based on 1 year, one could potentially extrapolate to a volume of 1680 tCO₂ for the 30 year duration of the problem. The low end estimate is based on COMET-Farms and the high end estimate is based on Eric Toensmeier's The Carbon Farming Solution. The low end volume would correspond to a carbon accrual rate of 11.42 tCO₂ / ha / year. As points of comparison from similar forest type groups, afforestation rates from USFS yield tables for live tree carbon stocks are 5.43 tCO₂ / ha / yr for Maple / Beech / Birch in the Northeast and 5.06 tCO₂ / ha / yr for Oak / Hickory in the Northeast (Smith et al., 2005) (annual rate based first 5 yr of growth). The provided volume number thus appears high if it only reflects above ground biomass. However, a range of farming practices are planned, including changes to grazing practices, and the claimed volume also likely includes soil carbon sequestration related to these changes in practice. COMET-Farms was used for these estimates, but we are unable to validate how it was used or parameterized. This uncertainty is further reflected in our uncertainty in the life cycle analysis and negativity, alongside questions around methane emissions from livestock.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '03-17-2021', 'note': 'Added documentation column to match new conventions.'}]","Johnsonville, NY, USA",Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://breadtreefarms.com/,0,,1.0,"Project integrates tree crops and grazing livestock as silvopasture systems, to sequester carbon in both soil and aboveground biomass.",Planting of chestnut trees is clearly specified. Other practices that will be used to enhance soil carbon are are less clear.,56.0,tCO₂,0.0,Volume estimated from calculations using USDA COMET-Planner model (56 tCO₂). A higher volume was also provided in parallel using Eric Toensmeier's The Carbon Farming Solution (140 tCO₂). Project has 3.2 current ha and intends to add 4.9 ha.,"We report the lower value offered because it is based on a method that includes a broader range of lifecycle emissions and because the project used the lower volume number to calculate project costs. While COMET-Farm is a publicly available tool, validating volume would require knowing model parameters used. Overall rate of 11.4 tCO₂ / ha / yr is high if only including above ground biomass, but may be plausible given broader considerations.",0.982,,0.0,"Reported ratio based on emissions from on-site tractor use and employee transportation, totaling 1.04 tCO₂ for 56 tCO₂ removed.","Calculation of tractor and transportation emissions appear reasonable. Project ratio is consistent with other reforestation projects, but lifecycle boundaries are not explicit. Specifically, no detail provided on methane emissions from livestock expansion and/or any soil carbon benefits.",30.0,years,0.0,Claims 30 to 100 years.,"We report 30 as the minimum of the claimed range. Physical risks are low based on location. Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon, but could be mitigated if the project buys and restricts its lands instead of leasing them.",1.0,,,,No specific analysis available.,4.14,$/tCO₂,,,"Rather than use the reported cost of $100, for consistency with other forest projects, we estimate a cost over the 30 year project lifetime using the provided rate of $1416.43 / ha and the information on provide size and volume.",1.0,,,,Methods publicly described and shapefiles for locations provided. Model parameters for COMET-Planner and life cycle boundaries are not yet available.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP019,"['forests', 'reforestation']",Reforestation offset model.,Future Forest,1,,"For a 174 ha land project in Scotland, project claims a breakdown of total volume as including 18.3 - 25.7 tCO₂ / ha / yr for above ground biomass, 7.3 - 25.7 tCO₂E / ha / yr for soil carbon, and 11 - 22 tCO₂ / ha / yr for biochar. For the above ground biomass portion, an initial point of comparisons includes published estimates in the US based on USFS yield tables, which range from 1.14 tCO₂ / ha / yr to 11.56 tCO₂ / ha / yr (Fargione et al., 2018, which is itself based directly on USFS yield tables for Ponderosa Pine and Douglas-fir). An additional point of comparison comes from yield tables for Sitka Spruce in the UK, which include reports of 10 tCO₂ / ha / yr to 26 tCO₂ / ha / yr (Magnani et al., 2007), depending on stand age, regional conditions, and productivity. Based on these comparisons, the above ground biomass component of volume reported by the project 18.3 - 25.7 tCO₂ / ha / yr is high, but not implausible. The rates for soil carbon and biochar are more difficult to validate without more specifics on planned practices, and the value for soil in particular appears high. Thus, the overall volume appears high, and further details would be required for validation.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '03-17-2021', 'note': 'Added documentation column to match new conventions.'}]",Scotland,Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://thefutureforestcompany.com/our-forests/,2,,1.0,"Removes carbon from atmosphere for sequestration in forest and soil carbon stocks, and avoids emissions from lost forest carbon.","Reforestration of degraded lands is clearly specified, but other aspects of practices to enhance soil carbon remain vague.",6380.0,tCO₂,0.0,"Volume projected for one year on a 174 ha land project in Scotland. Claimed breakdown of total volume includes 18.3 - 25.7 tCO₂ / ha / year for above ground biomass, 7.3 - 25.7 tCO₂E / ha / year for soil carbon, and 11 - 22 tCO₂ / ha / year for biochar.","Project provides references for forest growth rates, though claimed rates of tCO₂ / ha / yr are on the high end of published estimates. Estimates for soil carbon difficult to validate without more specifics on planned management practices or site properties.",0.995,,0.0,Emission calculations based on one-time planting and fencing emissions amortized over 60 years. Various ongoing operations including raising pigs and transporation.,"Boundary conditions and emission sources well-specified, and consistent with similar projects. Claimed carbon removal benefits are on the high end of published estimates, which may explain the high value reported here.",60.0,years,0.0,Claims 100 to 1000 years.,"Project involves both forests and soil carbon. We report 60 years rather than 100 as 60 is mentioned as a minimum specifically for forests. Physical risks are low based on location. Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon. Socioeconomic risks could be reduced, as land is owned by project proponent and proponent has indicated the possibility of permanently restricting land use.",1.0,,,"Counterfactual not specified, but appears to involve ""degraded"" land remaining degraded.",,20.0,$/tCO₂,,,,1.0,,,,"Reasonably thorough description of project and site, but additional public materials would be useful for analysis (e.g. shapefiles, species composition).",forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP021,"['forests', 'ifm']",Public access forestry at Doe Mountain.,Bluesource,2,Doe Mountain,"Claimed volume is based both on the standing stock (in the form of avoided emissions) and future growth over an area of 3,433.83 ha over a 20 year project duration. Based on the growth assumptions provided in the project design document in the ACR registry, the total claimed volume (ignoring the buffer pool deduction) includes 487.03tCO₂ / ha for the initial standing stock and 5.6 tCO₂ / ha / yr for growth (over 20 yrs). Given the location and the species (mix of Hardwoods, Oak / Hickory, Cove forest, and Oak / Pine), we can validate against USFS yield tables. For example, growth rates range from 4.3 tCO₂ / ha / yr (years 70-90) to 7.3 tCO₂ / ha / yr (years 0-20) for Oak / Hickory in the Southeast, with a standing stock ranging from 77.1 - 351.6 tCO₂ / ha (for stand ages 10 - 50 yrs), and growth rates range from 3.7 tCO₂ / ha / yr (years 70-90) to 7.2 tCO₂ / ha / yr (years 0-20) for Oak / Pine in the Southeast, with a standing stock ranging from 72 - 326.3 tCO₂ / ha (for stand ages 10 - 50 yrs) (Smith et al., 2005). While we do not know stand ages or ranges, the provided volume numbers fall near established ranges.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '03-17-2021', 'note': 'Added documentation column and changed project description to match new conventions.'}]","Mountain City, TN, USA",Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=398,2,,1.0,Avoids emissions from forest loss and removes carbon from the atmosphere for sequestration in forest carbon.,,631845.0,tCO₂,1.0,"Improved forest management project on 8485 acres on state-owned land in Tennessee. Project is projected to generate 770,543 tCO₂ beneifts over 20 years, the dominant majority of which (545,254 tCO₂ or 71%) are avoided emissions from forest harvesting. An 18% risk buffer pool is set aside to mitigate against potential reversals, producing a net expected removal of 631,845 tCO₂. No specific method for calculating forest carbon benefits identified. Buffer pool calculated using American Carbon Registry methods.","Project claims 5.6 tCO₂ / ha / yr from forest growth, which falls within a highly plausible range based on USFS yield tables. The estimated 599 tCO₂ / ha maximum standing stock falls on the high end of a plausible range.",1.0,,1.0,"Reported ratio based on 40.7 tCO₂ emitted for 631,845 tCO₂ claimed. Project-level emissions mainly reflect monitoring. Removal used in ratio includes deduction of 18% buffer pool.",High ratio is consistent with similar projects. Project-level emissions are well-specified and forest carbon stocks are readily calculated.,37.0,years,0.0,Claims 82% likelihood of permanent storage.,"Project appears to occur over 40-year period (2017-2057), with 37 years remaining from date of application, which we report that as the permanence. Physical risks are low based on location. Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon. Land is owned by state-chartered entity in Tennessee, which may present a different contractual default risk compared to fully private parties but which is also required to conserve the land for multiple uses. See our comment on additionality.",0.0,,,Counterfactual is harvest of most forest carbon over the period 2018-2021.,"By the end of 2020, 56% of total project climate benefits will have been earned via avoided harvest. Thus, the project has already committed to avoid harvest and therefore the expected carbon removal in later years is already assured. As a result, the project appears to be offering climate benefits that have already been promised to other buyers. Land is owned by a state-charted entity that is statutorily obligated to protect the land for multiple uses, of which timber is only one.",8.0,$/tCO₂,,,,2.0,,,,"Significant project information available from multiple public sources (Stripe Climate 2020 proposal and American Carbon Registry), although digital shapefiles could not be found.",forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRP022,"['forests', 'wood']",Bamboo reforestation and engineered lumber.,Rizome,2,,"Reported volume is based on a 1000 ha pilot. The total volume includes both 15680 tCO₂ via reforestation with giant bamboo (Dendrocalamus asper) and 4020 tCO₂ based on storage of existing culms. For the reforestation component, for the first year of growth, that corresponds to 15.7 tCO₂ / ha / yr. Published literature on a related species of giant bamboo reports rates of 29.8 tCO₂ / ha / yr (Yen and Lee, 2011), so these rates seem plausible, though we could not find published yield tables for the specific species in question. In addition, given several other potential sources of variability due to regional conditions, further validation of volume would likely require ground measurements once the project is underway.","[{'date': '05-18-2020', 'note': 'First release.'}, {'date': '03-17-2021', 'note': 'Added documentation column to match new conventions.'}]",Philippines,Stripe 2020 Negative Emissions Purchase,CC-BY-4.0,https://github.com/stripe/negative-emissions-source-materials,Website,https://www.rizomeco.com/,0,,1.0,Project removes carbon from atmosphere for sequestration in bamboo and bamboo building materials.,,19700.0,tCO₂,0.0,"Volume based on a 1000 ha pilot, using an unspecified Verified Carbon Standard protocol for calculations. Total includes both 15680 tCO₂ based on reforestation and 4020 tCO₂ based on storage of existing culms.","Inferred rate of 15.7 tCO₂ / ha / yr for the first year of growth is high, but within the range of published allometric estimates for other bamboo species. Given large potential variability due to regional conditions, further validation would require ground measurements and/or the project-referenced VCS biomass methodology to be released in 2021.",0.98,,0.0,Minimal information reported.,Difficult to evaluate without more information. Lack of detail on the manufacturing process raises questions about the high ratio. Frequent harvests may affect emissions.,50.0,years,1.0,Project projects permanence of 80 years for bamboo clumps and 50-100 years for engineered wood products.,"We report 50 as the minimum of the claimed range. For standing bamboo forests, physical risk to fire may be low, but other physical and socioeconomic risks apply on this time horizon. Wood carbon stored in bamboo products, however, will be more durable than in bamboo forests.",1.0,,,"Counterfactual not specified. Project appears to target degraded land and suggests alternative land uses, such as native forest plantations, might be feasible but would produce lower overall carbon removal services due to bamboo's extremely high annual productivity.",Project claims that bamboo building materials have reached parity with conventional wood products. This suggests bamboo planting may not require climate policy incentives. No analysis available of competing economics of conventional wood products or alternative land management.,10.0,$/tCO₂,,,,1.0,,,,Reasonably thorough description of project plan. Few details avaialble around engineered lumber products. Project refers to VCS standard that has yet to be released.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT001,"['forests', 'reforestation']",Empowering smallholder farmers with agroforestry through the Acorn project.,Coöperatieve Rabobank,1,Acorn,,"[{'date': '03-17-2021', 'note': 'First release.'}]",Brazil,Microsoft 2021 CDR RFP,,https://app.powerbi.com/view?r=eyJrIjoiOGM2MGFlNGYtMGNlNy00YzY5LWEyMTAtOTA0ODEyNzEzYTczIiwidCI6ImMxMzZlZWMwLWZlOTItNDVlMC1iZWFlLTQ2OTg0OTczZTIzMiIsImMiOjF9,Website,https://www.rabobank.com/en/about-rabobank/innovation/acorn/index.html?utm_campaign=5e553208da14180001c04fab&utm_content=6013de4b92a93e00014cfa13&utm_medium=smarpshare&utm_source=linkedin,0,,1.0,Project removes carbon from atmosphere for storage in farmer owned trees.,Project partners with well-established agroforestry organizations to plant trees in agroforestry systems on small farms.,500.0,tCO₂,0.0,Seller offers 500 tCO₂ removal from an unknown project area. The offered volume is just a portion of the total carbon benefits attributed to the project. Seller claims a 10% buffer is maintained to mitigate against reversals.,There is not enough information to validate this volume. See Specificity comment.,,,0.0,,There is not enough information to calculate or validate negativity.,10.0,years,1.0,Seller claims 10 year permanence.,,0.0,,,,There is not enough information on specific projects to evaluate additionality.,,,-9999.0,,,0.0,,-9999.0,,The only public documentation currently available is the application to the Microsoft 2021 Carbon Removal RFP.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT002,"['forests', 'reforestation']",Revitalizing Philadelphia’s natural areas.,Cambium Carbon,1,,"Involved parties include Cambium Carbon, the City of Philadelphia Parks and Recreation, and potentially large private landowners. Project term is 2021 onward, other key project details not available. Project may be relavent to the City of Philadelphia's [Future of the Urban Forest plan](https://www.phila.gov/2019-12-05-city-kicks-off-future-of-the-urban-forest-planning-process/#:~:text=The%2010%2Dyear%20Future%20of,map%20Philadelphia%27s%20current%20tree%20cover.&text=The%20process%20to%20create%20Philadelphia%27s,take%2012%20to%2018%20months.). Project appears to be following the [City Forest Credit protocol](https://www.cityforestcredits.org/wp-content/uploads/2020/10/City-Forest-Credits-Planting-Protocol-V8-20200906.pdf).","[{'date': '03-17-2021', 'note': 'First release.'}]","Pennsylvania, USA",Microsoft 2021 CDR RFP,,https://app.powerbi.com/view?r=eyJrIjoiOGM2MGFlNGYtMGNlNy00YzY5LWEyMTAtOTA0ODEyNzEzYTczIiwidCI6ImMxMzZlZWMwLWZlOTItNDVlMC1iZWFlLTQ2OTg0OTczZTIzMiIsImMiOjF9,Website,https://www.cambiumcarbon.com/,0,,1.0,Project removes carbon from atmosphere for storage in urban trees.,"Project pursues urban reforestation in Philadelphia, planting trees on private and Municipal Parks and Recreation land.",2534.0,tCO₂,0.0,"Seller offers 2,534 tCO₂ removal over an unknown project area. A buffer pool will be used to mitigate against reversals; size and methodology are for determining the buffer pool are not specified.",There is not enough information to validate this volume. See Specificity comment.,,,0.0,,There is not enough information to calculate or validate negativity.,25.0,years,0.0,Seller claims 25 year permanence.,No information regarding the projects' contractual commitments is available.,0.0,,,,"In 2019, the City of Philadephia launched a 10-year campaign to restore 30% of the city's tree canopy. More information is needed to understand the additionality of this project in relation to the city's campaign. It appears that the project proponent has full funding for the upcoming pilot project plantings. Purchasing these credits be better characterized as an investment in the maintanence of the pilot plantings or financing future projects. Overall, there is not enough information to evaluate additionality.",,,-9999.0,,,0.0,,-9999.0,,"The only public documentation currently available for this project is the application to the Microsoft 2021 Carbon Removal RFP, which is lacking key details for validation.",forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT004,"['forests', 'reforestation']",Reforestation in the Lake Albert Region of Uganda.,Terraformation,2,,,"[{'date': '03-17-2021', 'note': 'First release.'}]",Uganda,Microsoft 2021 CDR RFP,,https://app.powerbi.com/view?r=eyJrIjoiOGM2MGFlNGYtMGNlNy00YzY5LWEyMTAtOTA0ODEyNzEzYTczIiwidCI6ImMxMzZlZWMwLWZlOTItNDVlMC1iZWFlLTQ2OTg0OTczZTIzMiIsImMiOjF9,Website,https://www.terraformation.com/blog/new-partner-uganda-environmental-defenders,0,,1.0,Project removes carbon from atmosphere for storage in forests.,Project establishes native forests on degraded savannah and dry grasslands.,30033.0,tCO₂,0.0,"Seller offers 30,033 tCO₂ removal from a 182 ha project area, with 219 tCO₂ offered in FY2021. A buffer pool will be used to mitigate against reversals using the VCS methodology.",Project claims removal rate 6.6 tCO₂/ha/yr. More detail regarding tree species and growth assumptions would be necessary for validation.,1.0,,1.0,"Project-level emissions reflect planting and monitoring activities, in addition to project electricity, air travel for project staff, and shipping for project materials.",High ratio is consistent with similar projects. Project-level emissions and estimation methodologies are well-specified.,100.0,years,0.0,Seller claims 100 year permanence.,Socioeconomic risks are significant due to the risk of default or bankruptcy on this time horizon.,1.0,,,,Project partners with conservation NGO to scale up production of seedlings.,,,-9999.0,,,1.0,,-9999.0,,Reasonable project detail available in application to the Microsoft 2021 Carbon Removal RFP.,forests,,company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
